Provincia,Mbps (Media de bajada),Velocidad_Promedio_Provincia,Nueva_Velocidad,KPI_Aumento_Velocidad
San Juan,6.30861496319647,8.850696587126581,6.624045711356294,5.000000000000008
San Luis,21.0206269368907,28.98381675858839,22.071658283735236,5.000000000000002
Santa Cruz,6.59320241817803,8.40829398214465,6.922862539086932,5.000000000000009
Santa Fe,23.9257916089841,29.291079513758643,25.122081189433306,5.000000000000009
Santiago Del Estero,10.411619106122,13.205254673844061,10.9322000614281,4.999999999999998
Capital Federal,58.7056829624225,63.331717870208955,61.64096711054363,5.0000000000000036
Catamarca,29.1322250129396,29.836084392605336,30.588836263586582,5.00000000000001
Chaco,25.942049334121698,32.95065270309209,27.239151800827784,5.000000000000004
Chubut,7.1170477818654,8.194332114660515,7.47290017095867,5.000000000000001
Córdoba,29.3947878350613,35.07736611619202,30.864527226814367,5.0000000000000036
Corrientes,20.5389992749433,29.335323255693304,21.565949238690468,5.000000000000012
Entre Ríos,19.0297653350575,27.630179819463983,19.981253601810376,5.000000000000001
Formosa,15.6973526074151,23.28657364915028,16.482220237785857,5.000000000000011
Jujuy,14.1449220571547,17.20923978540554,14.852168160012436,5.000000000000008
La Pampa,7.29175772047483,9.291688324976617,7.656345606498571,5.000000000000003
La Rioja,7.96241894715069,20.79586006879485,8.360539894508225,5.000000000000008
Mendoza,8.440867710217,14.867812320279436,8.862911095727851,5.000000000000003
Misiones,22.1482130684363,28.90183042687181,23.255623721858115,5.000000000000005
Neuquén,27.7682820789762,31.061870659916227,29.15669618292501,5.000000000000005
Río Negro,19.0603005640612,22.761131735454708,20.013315592264263,5.000000000000009
Salta,21.4250472439027,25.51226914594281,22.496299606097836,5.000000000000003
San Juan,6.0369845914841,8.850696587126581,6.338833821058306,5.0000000000000115
San Luis,20.9893797442827,28.98381675858839,22.038848731496838,5.00000000000001
Santa Cruz,6.41717062736403,8.40829398214465,6.738029158732232,5.0000000000000115
Santa Fe,22.4240567700362,29.291079513758643,23.54525960853801,5.00000000000001
Santiago Del Estero,10.0005390804948,13.205254673844061,10.50056603451954,5.000000000000002
Tierra Del Fuego,7.41086583769633,7.989260750593337,7.781409129581148,5.00000000000001
Tucumán,32.2455309430329,32.51176385893377,33.85780749018454,4.999999999999999
Buenos Aires,30.7696941410059,44.001792787906716,32.308178848056194,4.999999999999997
Capital Federal,44.2031786700859,63.331717870208955,46.41333760359019,5.000000000000003
Catamarca,24.8783076704626,29.836084392605336,26.12222305398573,5.0000000000000036
Chaco,23.3749508001623,32.95065270309209,24.543698340170415,5.000000000000005
Chubut,6.99411352344506,8.194332114660515,7.343819199617314,5.000000000000006
Córdoba,26.1622806145129,35.07736611619202,27.470394645238546,5.00000000000001
Corrientes,19.2554116079714,29.335323255693304,20.21818218836997,4.999999999999996
Entre Ríos,17.0075808976571,27.630179819463983,17.857959942539956,5.000000000000011
Formosa,14.5256295515193,23.28657364915028,15.251911029095266,5.000000000000011
Jujuy,12.9592000428042,17.20923978540554,13.607160044944411,5.000000000000007
La Pampa,6.52615219569304,9.291688324976617,6.852459805477692,5.0
La Rioja,8.00088036402963,20.79586006879485,8.400924382231112,5.0000000000000115
Mendoza,7.78520088998709,14.867812320279436,8.174460934486445,5.000000000000012
Misiones,20.3203474357427,28.90183042687181,21.336364807529836,5.000000000000004
Neuquén,26.0198843147829,31.061870659916227,27.320878530522045,5.0
Río Negro,17.176998973856,22.761131735454708,18.0358489225488,5.0
Salta,19.0835730228338,25.51226914594281,20.037751673975492,5.000000000000012
San Juan,6.04017169846849,8.850696587126581,6.342180283391915,5.000000000000009
San Luis,20.6903534221431,28.98381675858839,21.724871093250258,5.000000000000008
Santa Cruz,5.20792506406971,8.40829398214465,5.468321317273196,5.000000000000006
Santa Fe,20.5471970198073,29.291079513758643,21.574556870797664,5.0
Santiago Del Estero,9.79220184435585,13.205254673844061,10.281811936573643,5.000000000000008
Tierra Del Fuego,7.27,7.989260750593337,7.6335,5.000000000000003
Tucumán,29.8703893243128,32.51176385893377,31.36390879052844,5.000000000000004
Buenos Aires,25.6793801438341,44.001792787906716,26.963349151025806,5.000000000000011
Capital Federal,38.7141005607114,63.331717870208955,40.64980558874697,5.000000000000002
Catamarca,9.29340742945983,29.836084392605336,9.758077800932822,5.000000000000013
Chaco,19.9946681226854,32.95065270309209,20.994401528819672,5.00000000000001
Chubut,6.96632358847429,8.194332114660515,7.314639767898004,5.000000000000002
Córdoba,23.1934023649398,35.07736611619202,24.35307248318679,4.9999999999999964
Corrientes,16.6999225509086,29.335323255693304,17.53491867845403,5.000000000000003
Entre Ríos,14.6951328665006,27.630179819463983,15.429889509825632,5.00000000000001
Formosa,13.223537484062,23.28657364915028,13.8847143582651,5.000000000000003
Jujuy,11.9682409299243,17.20923978540554,12.566652976420517,5.0000000000000115
La Pampa,5.71966646489104,9.291688324976617,6.0056497881355915,4.999999999999998
La Rioja,8.00237529691211,20.79586006879485,8.402494061757716,5.0000000000000115
Mendoza,6.10822854552147,14.867812320279436,6.413639972797544,5.0
Misiones,17.9315224613728,28.90183042687181,18.82809858444144,5.000000000000006
Neuquén,23.7484151599667,31.061870659916227,24.935835917965036,5.000000000000003
Río Negro,15.9837185039992,22.761131735454708,16.78290442919916,5.000000000000004
Salta,14.7464652444555,25.51226914594281,15.483788506678275,5.0
San Juan,6.0382295086509,8.850696587126581,6.340140984083446,5.000000000000006
San Luis,19.7438269823496,28.98381675858839,20.73101833146708,5.000000000000004
Santa Cruz,5.01774694095645,8.40829398214465,5.268634288004273,5.00000000000001
Santa Fe,18.1655296866879,29.291079513758643,19.073806171022298,5.000000000000012
Santiago Del Estero,9.38941313142636,13.205254673844061,9.858883787997678,4.999999999999996
Tierra Del Fuego,6.69070138014341,7.989260750593337,7.02523644915058,5.0
Tucumán,19.3239947945805,32.51176385893377,20.290194534309524,4.9999999999999964
Buenos Aires,22.4800460185574,44.001792787906716,23.60404831948527,5.000000000000001
Capital Federal,30.346259857092,63.331717870208955,31.863572849946603,5.000000000000008
Catamarca,8.81,29.836084392605336,9.2505,5.000000000000001
Chaco,16.0102433309966,32.95065270309209,16.81075549754643,4.999999999999996
Chubut,6.05440689354379,8.194332114660515,6.35712723822098,5.000000000000004
Córdoba,18.4315178319128,35.07736611619202,19.35309372350844,5.0000000000000036
Corrientes,13.8330350838162,29.335323255693304,14.524686838007012,5.000000000000009
Entre Ríos,12.1933578179506,27.630179819463983,12.80302570884813,5.0
Formosa,10.8366112194808,23.28657364915028,11.378441780454839,4.999999999999997
Jujuy,12.0733822805073,17.20923978540554,12.677051394532665,5.000000000000002
La Pampa,5.49228832141797,9.291688324976617,5.766902737488868,4.9999999999999964
La Rioja,7.89416348600509,20.79586006879485,8.288871660305345,5.000000000000003
Mendoza,6.02629690452623,14.867812320279436,6.327611749752542,5.000000000000003
Misiones,14.5013025473924,28.90183042687181,15.226367674762022,5.000000000000009
Neuquén,17.242865250196,31.061870659916227,18.1050085127058,5.000000000000001
Río Negro,11.6280502043199,22.761131735454708,12.209452714535896,5.0000000000000115
Salta,12.5487487506016,25.51226914594281,13.17618618813168,5.000000000000002
San Juan,6.11852201306904,8.850696587126581,6.424448113722492,5.000000000000003
San Luis,19.8759728483994,28.98381675858839,20.86977149081937,5.000000000000007
Santa Cruz,6.00804731756081,8.40829398214465,6.308449683438851,5.000000000000005
Santa Fe,15.0745490588903,29.291079513758643,15.828276511834815,5.000000000000002
Santiago Del Estero,7.10311288296652,13.205254673844061,7.458268527114846,5.000000000000008
Tierra Del Fuego,6.34,7.989260750593337,6.657,5.000000000000003
Tucumán,18.5293178859203,32.51176385893377,19.455783780216315,5.000000000000002
Buenos Aires,19.6439582242305,44.001792787906716,20.626156135442024,5.000000000000001
Capital Federal,24.7150632938498,63.331717870208955,25.95081645854229,5.0
Catamarca,7.96400515527188,29.836084392605336,8.362205413035474,4.9999999999999964
Chaco,13.4442362690779,32.95065270309209,14.116448082531795,5.000000000000002
Chubut,5.89173056919616,8.194332114660515,6.1863170976559685,5.000000000000003
Córdoba,15.7348642286459,35.07736611619202,16.521607440078196,5.000000000000001
Corrientes,12.049695550812,29.335323255693304,12.652180328352602,5.00000000000001
Entre Ríos,10.659197328954,27.630179819463983,11.192157195401702,5.00000000000001
Formosa,9.82508995783571,23.28657364915028,10.316344455727496,5.000000000000006
Jujuy,8.56046421746506,17.20923978540554,8.988487428338313,4.9999999999999964
La Pampa,5.0578618428674,9.291688324976617,5.31075493501077,5.000000000000011
La Rioja,7.09279228699204,20.79586006879485,7.447431901341642,5.0
Mendoza,5.7427641753174,14.867812320279436,6.02990238408327,5.000000000000001
Misiones,12.5127734596835,28.90183042687181,13.138412132667675,5.0000000000000036
Neuquén,15.8846532639152,31.061870659916227,16.67888592711096,5.000000000000015
Río Negro,10.4884206481363,22.761131735454708,11.012841680543115,5.000000000000003
Salta,10.3771000139695,25.51226914594281,10.895955014667976,5.000000000000012
San Juan,5.83926318942954,8.850696587126581,6.131226348901017,4.999999999999997
San Luis,8.70855518875459,28.98381675858839,9.143982948192319,4.999999999999999
Santa Cruz,5.77999297039756,8.40829398214465,6.068992618917438,5.000000000000004
Santa Fe,12.986963477266,29.291079513758643,13.6363116511293,5.0000000000000036
Santiago Del Estero,6.41507073796908,13.205254673844061,6.735824274867534,5.000000000000007
Tierra Del Fuego,6.3411014506123,7.989260750593337,6.658156523142915,5.000000000000003
Tucumán,16.5732999645796,32.51176385893377,17.40196496280858,5.000000000000001
Buenos Aires,16.9343630101501,44.001792787906716,17.781081160657607,5.000000000000006
Capital Federal,22.9353019922347,63.331717870208955,24.082067091846433,4.9999999999999964
Catamarca,8.04392020265991,29.836084392605336,8.446116212792907,5.000000000000014
Chaco,13.4920835702103,32.95065270309209,14.166687748720815,5.000000000000002
Chubut,6.08522390368403,8.194332114660515,6.3894850988682315,5.000000000000002
Córdoba,15.8136674336298,35.07736611619202,16.60435080531129,5.000000000000015
Corrientes,12.1389233933877,29.335323255693304,12.745869563057084,5.0
Entre Ríos,11.023282490377,27.630179819463983,11.57444661489585,5.000000000000003
Formosa,9.8168937119138,23.28657364915028,10.307738397509489,4.9999999999999964
Jujuy,8.56273760175261,17.20923978540554,8.990874481840242,5.0000000000000115
La Pampa,4.31909495794348,9.291688324976617,4.535049705840654,5.000000000000009
La Rioja,7.09338212515489,20.79586006879485,7.448051231412635,5.000000000000009
Mendoza,5.74667510243432,14.867812320279436,6.034008857556037,5.000000000000009
Misiones,12.4951126741558,28.90183042687181,13.119868307863591,5.000000000000005
Neuquén,15.8912336460704,31.061870659916227,16.68579532837392,5.000000000000001
Río Negro,10.4870055652755,22.761131735454708,11.011355843539274,4.999999999999998
Salta,10.4572840891359,25.51226914594281,10.980148293592695,4.999999999999998
San Juan,5.71526653935785,8.850696587126581,6.001029866325743,5.000000000000009
San Luis,8.81899279190052,28.98381675858839,9.259942431495546,4.9999999999999964
Santa Cruz,5.11950736477287,8.40829398214465,5.375482733011514,4.999999999999998
Santa Fe,13.1792348999695,29.291079513758643,13.838196644967976,5.0
Santiago Del Estero,6.30925524385175,13.205254673844061,6.624718006044337,4.999999999999999
Tierra Del Fuego,7.43656200821403,7.989260750593337,7.808390108624732,5.000000000000004
Tucumán,16.5832344455303,32.51176385893377,17.41239616780682,5.000000000000011
Buenos Aires,16.7797351323622,44.001792787906716,17.618721888980314,5.000000000000013
Capital Federal,21.6433683640614,63.331717870208955,22.72553678226447,5.000000000000007
Catamarca,7.80652194153063,29.836084392605336,8.196848038607163,5.000000000000012
Chaco,12.8949618906093,32.95065270309209,13.539709985139766,5.000000000000001
Chubut,6.07672232294286,8.194332114660515,6.380558439090003,5.0
